prolific_id,start_time,original_statement,original_label,pass_verification,label_alignment,redundant_content,natural_flow,response_timestamp
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,Lmao I hope I'm not the only one who gets this,positive,1,4,4,4,2024-12-16T06:19:27.833Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,Sadly enough I was thinking the same.,negative,1,4,2,4,2024-12-16T06:20:28.851Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,Based on what? Don't you think a little discussion is in order before doing this?,impolite,1,4,2,4,2024-12-16T06:22:02.646Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,Sunday Oliseh reacts to Super Eagles goallessdraw with Tanzania via,neutral,0,4,2,2,2024-12-16T06:23:06.154Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,It's because the polio vaccine actually works. That's why there was no skepticism unlike today. And yeah can confirm fully vaccinated people die from covid. I see it everyday in the hospital I work in but you probably know more than I do.,favoring,0,2,4,2,2024-12-16T06:24:41.665Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,"I'd like to thank my current employer for making me feel accepted and valued. It's particularly nice that, whenever I have some suggestions for them, that they seriously consider them and don't just automatically put their fingers in their ears and shout 'I CAN'T HEAR YOU'. Metaphorically.",sarcastic,0,1,4,2,2024-12-16T06:26:02.989Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,I've also heard that intriguing but also kinda scary,negative,0,3,1,2,2024-12-16T06:27:22.453Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,I'm not certain that the sun actually bothered rising today. We were encased in mirky twilight all day.,neutral,0,2,4,4,2024-12-16T06:28:02.459Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,When is abortion a responsible choice? When a woman chooses it to be,favoring,1,3,2,2,2024-12-16T06:28:42.956Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,Drinks last night was a bit messy. May get some more beers tonight. Not sure though.,not sarcastic,1,4,4,2,2024-12-16T06:29:26.097Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,"I keep forgetting, when it's vaccination location selection time, that I usually sleep on my left side (and arm) a lot more than my right.  Hence this 3am tweet.",favoring,1,2,4,4,2024-12-16T06:30:16.837Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,"Wikipedia is not IMDb, which can easily be used (and is more suited) to providing complete soundtrack listings for pretty much every movie ever made. Would you care to address any of the other points I've brought up?",impolite,0,2,4,4,2024-12-16T06:30:59.713Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,Is a tough one for sure but has increased vaccination rates in Singapore. There is not a pandemic of smoking or not wearing seatbelts. In fact behaviour around both is improving. Vaccinating is not exactly hard. You hardly feel the prick on your arm.,favoring,0,4,3,1,2024-12-16T06:32:01.546Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,Could you please block me indefinitely. If you can't then what do I need to do to get blocked indefinitely?,impolite,0,4,4,4,2024-12-16T06:32:47.271Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,I love my friends,not sarcastic,1,4,2,4,2024-12-16T06:33:20.736Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,How many jabs do you want us to have? 10? 20?,not sarcastic,0,3,3,1,2024-12-16T06:34:05.466Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,"The ambitious goal to fully vaccinate the entire adult population is proving difficult. People are not returning to receive their second dose, and motivating them poses complex challenges.",neutral,1,2,4,4,2024-12-16T06:34:59.896Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,tomorrow I've to wake up early so Zayn's erformance on VMA better be true otherwise u'll regret for playing with my emotions and sleep,positive,0,2,2,4,2024-12-16T06:35:43.692Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,All the ladies can stay at my place.,positive,1,4,4,4,2024-12-16T06:36:06.762Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,"Thank you! Now get rid of all mandates, including vax for state and other workers, and all mask mandates, which are unlawful and violate human rights. And they do nothing to protect anyone from any virus infection.",against,1,4,4,4,2024-12-16T06:36:50.313Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,I will never look at Michelle Obama the same way. My sides will be sore tomorrow... Worth breaking the Internet for!,neutral,0,2,2,2,2024-12-16T06:37:21.019Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,I enjoy being at work and can't wait to come in everyday and see all my happy colleagues,sarcastic,1,5,2,4,2024-12-16T06:38:03.882Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,"They started seeling alcohol a while ago, when she called her mafia friend to get help for the speakeasy.",neutral,0,3,2,2,2024-12-16T06:38:42.399Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,I'm sorry that's what you read because it isn't what I said.,negative,0,2,3,4,2024-12-16T06:39:43.605Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,"Ashley Bloomfield ""we need to ensure that COSUMERS are well informed of this rare side effect and know when to seek help."" -thank you for informing me of this serious side effect, I will say NO to the vaccine.",against,0,4,2,1,2024-12-16T06:40:32.882Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,I don't ask people their vaccination status. That's a personal decision. We should all be happy and enjoy the holiday season with all of our friends and family.,neutral,1,2,3,3,2024-12-16T06:41:19.354Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,As a former fetus I oppose,against,1,4,4,1,2024-12-16T06:42:12.335Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,You look fantastic in that new dress.  It shows off your figure.,sarcastic,0,2,4,4,2024-12-16T06:42:40.735Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,"thanks for your input, it was such a pleasure interacting with you, now that the overlapping projects assessment are done, we need never interact again. projects opting out of policy, how charming, some projects are more equal than others, can i take a vote on SI project opting out of copyright vios?",polite,0,1,3,1,2024-12-16T06:43:34.211Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,"The proper title of this image should be Eszopiclone.svg, since it depicts the S enantiomer. Could you change the title so I can upload an image of the racemic compound instead?",polite,1,4,4,3,2024-12-16T06:44:14.691Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,"Thanks, I didn't notice the earlier discussion. Would you consider (if you haven't done so yet) adding some indication on either page that these are the same user?",polite,1,4,4,4,2024-12-16T06:44:47.933Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,I just found that Barcelona and Real Madrid are playing on Sunday... I need sleeping pills...,neutral,0,4,4,4,2024-12-16T06:45:46.385Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,One day I'm gonna set an abortion clinic on fire. Anyone wanna join?,against,1,2,2,4,2024-12-16T06:47:03.018Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,"making us look like punks, disappointing",negative,1,4,2,4,2024-12-16T06:47:32.016Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,On my bday I'm always so grateful to my bio parents who gave me up for,against,1,1,2,4,2024-12-16T06:48:20.878Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,I truly believe that and that's why I'm against Planned Parenthood.,against,1,4,2,3,2024-12-16T06:49:02.236Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,Don't threaten me as that is not vandalism. What is wrong with a nude photo of Barack's mom?,impolite,1,2,2,3,2024-12-16T06:49:49.565Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,It's so weird how I look ugly in photos but I also look ugly in the mirror,sarcastic,0,3,2,4,2024-12-16T06:50:26.386Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,Imagine having to pretend you didn't edit your link. The inferiority is dripping off you.,neutral,0,1,3,4,2024-12-16T06:51:30.325Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,It's crazy to treat ppl this way. Washington University came out and said natural immunity could last a lifetime. No I.D to vote but vaccine card to exercise,against,1,4,3,4,2024-12-16T06:52:32.198Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,"So hard to book a jab, turn up, be jabbed, wait a bit and then get on with your life.  Why bother?",sarcastic,1,3,4,1,2024-12-16T06:53:31.647Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,"Thank you for your support.  My reaction to the vaccine. is not fun, by a long shot.  Some people are lucky and only have a sore arm.  But other people do have reactions.  We don't know if the booster will truly help us. Getting the shot is risky for some peole.  I wish you luck.",neutral,0,4,4,1,2024-12-16T06:54:17.260Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,Holy shit bro,negative,1,4,4,4,2024-12-16T06:54:52.505Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,I just know the government is gonna lock us all down in spite because they can't have their Xmas party,not sarcastic,0,2,1,1,2024-12-16T06:55:38.543Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,It's crazy how you can tell someone what you're going through 1000x and they just dismiss it,not sarcastic,1,4,4,4,2024-12-16T06:56:10.293Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,Papa Johns in my area basically gives away their pizza. I can smell the desperation in the store,neutral,0,2,4,4,2024-12-16T06:56:46.666Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,Very nice. How could I doubt you?,polite,1,4,4,4,2024-12-16T06:57:24.639Z
